Compensation,Education,Title,Company_Size,Gender,Count
"25,000 to 29,999",Master's degree,Product/Project Manager,0-49 employees,Male,2
"25,000 to 29,999",Master's degree,Business Analyst,"> 10,000 employees",Male,2
"25,000 to 29,999",Master's degree,Business Analyst,"1000-9,999 employees",Male,1
"25,000 to 29,999",Master's degree,Business Analyst,0-49 employees,Male,1
"25,000 to 29,999",Master's degree,Statistician,"1000-9,999 employees",Male,1
"25,000 to 29,999",Master's degree,Statistician,250-999 employees,Male,1
"25,000 to 29,999",Master's degree,Statistician,50-249 employees,Male,1
"25,000 to 29,999",Master's degree,Data Analyst,"> 10,000 employees",Male,3
"25,000 to 29,999",Master's degree,Data Analyst,250-999 employees,Male,1
"25,000 to 29,999",Master's degree,Data Analyst,0-49 employees,Male,2
"25,000 to 29,999",Master's degree,Data Engineer,"> 10,000 employees",Male,1
"25,000 to 29,999",Master's degree,Data Engineer,"> 10,000 employees",Female,1
"25,000 to 29,999",Master's degree,Software Engineer,"> 10,000 employees",Male,3
"25,000 to 29,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,4
"25,000 to 29,999",Master's degree,Software Engineer,250-999 employees,Male,3
"25,000 to 29,999",Master's degree,Software Engineer,50-249 employees,Male,1
"25,000 to 29,999",Master's degree,Other,"> 10,000 employees",Male,3
"25,000 to 29,999",Master's degree,Other,"> 10,000 employees",Female,1
"25,000 to 29,999",Master's degree,Other,"1000-9,999 employees",Male,1
"25,000 to 29,999",Master's degree,Other,0-49 employees,Male,1
"25,000 to 29,999",Master's degree,Other,0-49 employees,Female,1
"25,000 to 29,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,2
"25,000 to 29,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Female,1
"25,000 to 29,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,3
"25,000 to 29,999",Bachelor's degree,Data Scientist,250-999 employees,Male,5
"25,000 to 29,999",Bachelor's degree,Data Scientist,50-249 employees,Male,1
"25,000 to 29,999",Bachelor's degree,Data Scientist,50-249 employees,Female,1
"25,000 to 29,999",Bachelor's degree,Data Scientist,0-49 employees,Male,2
"25,000 to 29,999",Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,3
"25,000 to 29,999",Bachelor's degree,Product/Project Manager,"1000-9,999 employees",Male,1
"25,000 to 29,999",Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,1
"25,000 to 29,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,1
"25,000 to 29,999",Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,1
"25,000 to 29,999",Bachelor's degree,Data Analyst,250-999 employees,Male,1
"25,000 to 29,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,4
"25,000 to 29,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,8
"25,000 to 29,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Not Mentioned,1
"25,000 to 29,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,6
"25,000 to 29,999",Bachelor's degree,Software Engineer,250-999 employees,Male,1
"25,000 to 29,999",Bachelor's degree,Software Engineer,0-49 employees,Male,1
"25,000 to 29,999",Bachelor's degree,Other,"> 10,000 employees",Male,1
"25,000 to 29,999",Professional degree,Data Scientist,"> 10,000 employees",Male,1
"25,000 to 29,999",Professional degree,Data Scientist,250-999 employees,Male,1
"25,000 to 29,999",Professional degree,Product/Project Manager,"> 10,000 employees",Male,1
"25,000 to 29,999",Professional degree,Product/Project Manager,50-249 employees,Female,1
"25,000 to 29,999",Professional degree,Business Analyst,"> 10,000 employees",Male,1
"25,000 to 29,999",Professional degree,Business Analyst,"1000-9,999 employees",Male,1
"25,000 to 29,999",Professional degree,Software Engineer,"1000-9,999 employees",Male,1
"25,000 to 29,999",I prefer not to answer,Data Scientist,50-249 employees,Male,1
"25,000 to 29,999",I prefer not to answer,Product/Project Manager,"> 10,000 employees",Male,3
"20,000 to 24,999",Doctoral degree,Research Scientist,250-999 employees,Male,1
"20,000 to 24,999",Doctoral degree,Data Scientist,"> 10,000 employees",Male,1
"20,000 to 24,999",Doctoral degree,Data Scientist,0-49 employees,Male,1
"20,000 to 24,999",Doctoral degree,Business Analyst,"> 10,000 employees",Male,1
"20,000 to 24,999",Doctoral degree,Statistician,50-249 employees,Male,1
"20,000 to 24,999",Doctoral degree,Software Engineer,"1000-9,999 employees",Male,1
"20,000 to 24,999",Doctoral degree,Software Engineer,0-49 employees,Male,1
"20,000 to 24,999",Doctoral degree,Other,"1000-9,999 employees",Male,1
"20,000 to 24,999",Master's degree,Data Scientist,"> 10,000 employees",Male,11
"20,000 to 24,999",Master's degree,Data Scientist,"> 10,000 employees",Female,1
"20,000 to 24,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,4
"20,000 to 24,999",Master's degree,Data Scientist,250-999 employees,Male,2
"20,000 to 24,999",Master's degree,Data Scientist,50-249 employees,Male,4
"20,000 to 24,999",Master's degree,Data Scientist,0-49 employees,Male,1
"20,000 to 24,999",Master's degree,Data Scientist,0-49 employees,Female,2
"20,000 to 24,999",Master's degree,Product/Project Manager,"> 10,000 employees",Male,4
"20,000 to 24,999",Master's degree,Product/Project Manager,"1000-9,999 employees",Male,1
"20,000 to 24,999",Master's degree,Product/Project Manager,250-999 employees,Male,1
"20,000 to 24,999",Master's degree,Product/Project Manager,50-249 employees,Male,1
"20,000 to 24,999",Master's degree,Product/Project Manager,0-49 employees,Male,1
"20,000 to 24,999",Master's degree,Business Analyst,"> 10,000 employees",Male,1
"20,000 to 24,999",Master's degree,Business Analyst,"1000-9,999 employees",Male,3
"20,000 to 24,999",Master's degree,Business Analyst,250-999 employees,Male,1
"20,000 to 24,999",Master's degree,Statistician,"> 10,000 employees",Male,1
"20,000 to 24,999",Master's degree,Data Analyst,"> 10,000 employees",Male,6
"20,000 to 24,999",Master's degree,Data Analyst,"1000-9,999 employees",Male,3
"20,000 to 24,999",Master's degree,Data Analyst,0-49 employees,Male,1
"20,000 to 24,999",Master's degree,Data Engineer,50-249 employees,Male,1
"20,000 to 24,999",Master's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"20,000 to 24,999",Master's degree,Software Engineer,"> 10,000 employees",Male,6
"20,000 to 24,999",Master's degree,Software Engineer,"> 10,000 employees",Female,2
"20,000 to 24,999",Master's degree,Software Engineer,250-999 employees,Female,1
"20,000 to 24,999",Master's degree,Software Engineer,0-49 employees,Male,1
"20,000 to 24,999",Master's degree,Other,0-49 employees,Male,1
"20,000 to 24,999",Bachelor's degree,Research Scientist,"> 10,000 employees",Male,1
"20,000 to 24,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,6
"20,000 to 24,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,3
"20,000 to 24,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Female,1
"20,000 to 24,999",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"20,000 to 24,999",Bachelor's degree,Data Scientist,50-249 employees,Male,2
"20,000 to 24,999",Bachelor's degree,Data Scientist,0-49 employees,Male,2
"20,000 to 24,999",Bachelor's degree,Data Scientist,0-49 employees,Female,1
"20,000 to 24,999",Bachelor's degree,Product/Project Manager,"> 10,000 employees",Female,1
"20,000 to 24,999",Bachelor's degree,Product/Project Manager,250-999 employees,Male,1
"20,000 to 24,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,2
"20,000 to 24,999",Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,2
"20,000 to 24,999",Bachelor's degree,Business Analyst,50-249 employees,Female,1
"20,000 to 24,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,3
"20,000 to 24,999",Bachelor's degree,Data Analyst,250-999 employees,Male,1
"20,000 to 24,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,1
"20,000 to 24,999",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,1
"20,000 to 24,999",Bachelor's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"20,000 to 24,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,7
"20,000 to 24,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,7
"20,000 to 24,999",Bachelor's degree,Software Engineer,250-999 employees,Male,3
"20,000 to 24,999",Bachelor's degree,Software Engineer,50-249 employees,Male,1
"20,000 to 24,999",Bachelor's degree,Other,"> 10,000 employees",Female,1
"20,000 to 24,999",Bachelor's degree,Other,0-49 employees,Male,1
"20,000 to 24,999",Professional degree,Data Scientist,"> 10,000 employees",Male,1
"20,000 to 24,999",Professional degree,Data Scientist,"1000-9,999 employees",Male,1
"20,000 to 24,999",Professional degree,Data Scientist,0-49 employees,Female,1
"20,000 to 24,999",Professional degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"20,000 to 24,999",Professional degree,Software Engineer,"> 10,000 employees",Male,2
"20,000 to 24,999",Professional degree,Software Engineer,50-249 employees,Not Mentioned,1
"20,000 to 24,999",Professional degree,Software Engineer,0-49 employees,Male,1
"20,000 to 24,999",Professional degree,Other,"> 10,000 employees",Male,2
"20,000 to 24,999",Some college/university,Data Scientist,0-49 employees,Male,1
"20,000 to 24,999",I prefer not to answer,Data Scientist,0-49 employees,Male,1
"20,000 to 24,999",I prefer not to answer,DBA/Database Engineer,"> 10,000 employees",Not Mentioned,1
"20,000 to 24,999",I prefer not to answer,Other,250-999 employees,Male,1
"15,000 to 19,999",Doctoral degree,Research Scientist,250-999 employees,Male,3
"15,000 to 19,999",Doctoral degree,Research Scientist,50-249 employees,Male,4
"15,000 to 19,999",Doctoral degree,Data Scientist,50-249 employees,Male,1
"15,000 to 19,999",Doctoral degree,Data Scientist,0-49 employees,Male,1
"15,000 to 19,999",Doctoral degree,Data Analyst,"> 10,000 employees",Male,1
"15,000 to 19,999",Doctoral degree,Other,"> 10,000 employees",Male,1
"15,000 to 19,999",Doctoral degree,Other,250-999 employees,Male,5
"15,000 to 19,999",Doctoral degree,Other,50-249 employees,Male,1
"15,000 to 19,999",Master's degree,Research Scientist,"> 10,000 employees",Male,1
"15,000 to 19,999",Master's degree,Research Scientist,"1000-9,999 employees",Male,2
"15,000 to 19,999",Master's degree,Research Scientist,250-999 employees,Male,3
"15,000 to 19,999",Master's degree,Research Scientist,0-49 employees,Male,1
"15,000 to 19,999",Master's degree,Data Scientist,"> 10,000 employees",Male,4
"15,000 to 19,999",Master's degree,Data Scientist,"> 10,000 employees",Female,2
"15,000 to 19,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,4
"15,000 to 19,999",Master's degree,Data Scientist,250-999 employees,Male,4
"15,000 to 19,999",Master's degree,Data Scientist,50-249 employees,Male,3
"15,000 to 19,999",Master's degree,Data Scientist,50-249 employees,Female,1
"15,000 to 19,999",Master's degree,Data Scientist,0-49 employees,Male,4
"15,000 to 19,999",Master's degree,Data Scientist,0-49 employees,Female,2
"15,000 to 19,999",Master's degree,Product/Project Manager,"> 10,000 employees",Male,2
"15,000 to 19,999",Master's degree,Product/Project Manager,"1000-9,999 employees",Male,1
"15,000 to 19,999",Master's degree,Product/Project Manager,50-249 employees,Male,2
"15,000 to 19,999",Master's degree,Business Analyst,"> 10,000 employees",Male,3
"15,000 to 19,999",Master's degree,Business Analyst,"1000-9,999 employees",Male,2
"15,000 to 19,999",Master's degree,Business Analyst,250-999 employees,Male,1
"15,000 to 19,999",Master's degree,Business Analyst,50-249 employees,Male,2
"15,000 to 19,999",Master's degree,Business Analyst,50-249 employees,Female,1
"15,000 to 19,999",Master's degree,Business Analyst,0-49 employees,Male,1
"15,000 to 19,999",Master's degree,Data Analyst,"> 10,000 employees",Male,1
"15,000 to 19,999",Master's degree,Data Analyst,50-249 employees,Male,1
"15,000 to 19,999",Master's degree,Data Engineer,"> 10,000 employees",Male,2
"15,000 to 19,999",Master's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"15,000 to 19,999",Master's degree,Software Engineer,"> 10,000 employees",Male,4
"15,000 to 19,999",Master's degree,Software Engineer,"> 10,000 employees",Female,4
"15,000 to 19,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,1
"15,000 to 19,999",Master's degree,Software Engineer,250-999 employees,Male,1
"15,000 to 19,999",Master's degree,Software Engineer,50-249 employees,Male,2
"15,000 to 19,999",Master's degree,Software Engineer,50-249 employees,Female,2
"15,000 to 19,999",Master's degree,Software Engineer,0-49 employees,Male,1
"15,000 to 19,999",Master's degree,Other,"> 10,000 employees",Male,3
"15,000 to 19,999",Master's degree,Other,"> 10,000 employees",Female,1
"15,000 to 19,999",Master's degree,Other,50-249 employees,Female,1
"15,000 to 19,999",Bachelor's degree,Research Scientist,"> 10,000 employees",Male,1
"15,000 to 19,999",Bachelor's degree,Research Scientist,"1000-9,999 employees",Male,1
"15,000 to 19,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,4
"15,000 to 19,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,3
"15,000 to 19,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Female,1
"15,000 to 19,999",Bachelor's degree,Data Scientist,250-999 employees,Male,2
"15,000 to 19,999",Bachelor's degree,Data Scientist,50-249 employees,Male,1
"15,000 to 19,999",Bachelor's degree,Data Scientist,50-249 employees,Female,1
"15,000 to 19,999",Bachelor's degree,Data Scientist,0-49 employees,Male,2
"15,000 to 19,999",Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,1
"15,000 to 19,999",Bachelor's degree,Product/Project Manager,50-249 employees,Male,2
"15,000 to 19,999",Bachelor's degree,Product/Project Manager,0-49 employees,Male,2
"15,000 to 19,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,1
"15,000 to 19,999",Bachelor's degree,Business Analyst,250-999 employees,Male,1
"15,000 to 19,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,4
"15,000 to 19,999",Bachelor's degree,Data Analyst,0-49 employees,Male,1
"15,000 to 19,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,2
"15,000 to 19,999",Bachelor's degree,Data Engineer,250-999 employees,Male,1
"15,000 to 19,999",Bachelor's degree,Data Engineer,50-249 employees,Male,1
"15,000 to 19,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,10
"15,000 to 19,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,1
"15,000 to 19,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,4
"15,000 to 19,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Female,2
"15,000 to 19,999",Bachelor's degree,Software Engineer,250-999 employees,Male,2
"15,000 to 19,999",Bachelor's degree,Software Engineer,250-999 employees,Female,1
"15,000 to 19,999",Bachelor's degree,Software Engineer,50-249 employees,Male,5
"15,000 to 19,999",Bachelor's degree,Software Engineer,0-49 employees,Male,6
"15,000 to 19,999",Bachelor's degree,Software Engineer,0-49 employees,Female,1
"15,000 to 19,999",Bachelor's degree,Other,"> 10,000 employees",Male,2
"15,000 to 19,999",Bachelor's degree,Other,0-49 employees,Male,1
"15,000 to 19,999",Professional degree,Data Scientist,"> 10,000 employees",Male,1
"15,000 to 19,999",Professional degree,Data Scientist,"> 10,000 employees",Female,1
"15,000 to 19,999",Professional degree,Data Scientist,50-249 employees,Male,1
"15,000 to 19,999",Professional degree,Business Analyst,50-249 employees,Male,1
"15,000 to 19,999",Professional degree,Data Analyst,"1000-9,999 employees",Male,1
"15,000 to 19,999",Professional degree,Software Engineer,"> 10,000 employees",Male,2
"15,000 to 19,999",Professional degree,Other,50-249 employees,Male,1
"15,000 to 19,999",High School,Data Scientist,50-249 employees,Male,1
"15,000 to 19,999",I prefer not to answer,Data Scientist,50-249 employees,Male,1
"15,000 to 19,999",I prefer not to answer,Software Engineer,250-999 employees,Male,1
"15,000 to 19,999",I prefer not to answer,Other,50-249 employees,Male,1
"10,000 to 14,999",Doctoral degree,Research Scientist,"> 10,000 employees",Female,1
"10,000 to 14,999",Doctoral degree,Research Scientist,"1000-9,999 employees",Male,1
"10,000 to 14,999",Doctoral degree,Research Scientist,250-999 employees,Male,2
"10,000 to 14,999",Doctoral degree,Research Scientist,0-49 employees,Male,2
"10,000 to 14,999",Doctoral degree,Data Scientist,"1000-9,999 employees",Male,2
"10,000 to 14,999",Doctoral degree,Data Scientist,50-249 employees,Male,1
"10,000 to 14,999",Doctoral degree,Data Scientist,0-49 employees,Male,1
"10,000 to 14,999",Doctoral degree,Data Analyst,"1000-9,999 employees",Male,1
"10,000 to 14,999",Doctoral degree,Software Engineer,0-49 employees,Female,1
"10,000 to 14,999",Doctoral degree,Other,250-999 employees,Female,1
"10,000 to 14,999",Doctoral degree,Other,50-249 employees,Female,1
"10,000 to 14,999",Doctoral degree,Other,0-49 employees,Male,1
"10,000 to 14,999",Master's degree,Research Scientist,50-249 employees,Male,3
"10,000 to 14,999",Master's degree,Research Scientist,0-49 employees,Male,1
"10,000 to 14,999",Master's degree,Data Scientist,"> 10,000 employees",Male,12
"10,000 to 14,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,2
"10,000 to 14,999",Master's degree,Data Scientist,250-999 employees,Male,1
"10,000 to 14,999",Master's degree,Data Scientist,50-249 employees,Male,6
"10,000 to 14,999",Master's degree,Data Scientist,0-49 employees,Male,9
"10,000 to 14,999",Master's degree,Product/Project Manager,"> 10,000 employees",Male,1
"10,000 to 14,999",Master's degree,Product/Project Manager,"1000-9,999 employees",Male,1
"10,000 to 14,999",Master's degree,Product/Project Manager,50-249 employees,Male,1
"10,000 to 14,999",Master's degree,Product/Project Manager,0-49 employees,Male,3
"10,000 to 14,999",Master's degree,Business Analyst,"> 10,000 employees",Male,7
"10,000 to 14,999",Master's degree,Business Analyst,"1000-9,999 employees",Male,3
"10,000 to 14,999",Master's degree,Business Analyst,"1000-9,999 employees",Female,1
"10,000 to 14,999",Master's degree,Business Analyst,250-999 employees,Male,2
"10,000 to 14,999",Master's degree,Business Analyst,50-249 employees,Female,1
"10,000 to 14,999",Master's degree,Statistician,"> 10,000 employees",Male,1
"10,000 to 14,999",Master's degree,Data Analyst,"> 10,000 employees",Male,6
"10,000 to 14,999",Master's degree,Data Analyst,"1000-9,999 employees",Male,1
"10,000 to 14,999",Master's degree,Data Analyst,250-999 employees,Male,1
"10,000 to 14,999",Master's degree,Data Analyst,250-999 employees,Female,2
"10,000 to 14,999",Master's degree,Data Analyst,50-249 employees,Male,2
"10,000 to 14,999",Master's degree,Data Analyst,0-49 employees,Male,4
"10,000 to 14,999",Master's degree,Data Engineer,"> 10,000 employees",Male,1
"10,000 to 14,999",Master's degree,Data Engineer,"1000-9,999 employees",Male,2
"10,000 to 14,999",Master's degree,Data Engineer,250-999 employees,Male,2
"10,000 to 14,999",Master's degree,Data Engineer,50-249 employees,Male,1
"10,000 to 14,999",Master's degree,Software Engineer,"> 10,000 employees",Male,12
"10,000 to 14,999",Master's degree,Software Engineer,"> 10,000 employees",Female,4
"10,000 to 14,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,5
"10,000 to 14,999",Master's degree,Software Engineer,250-999 employees,Male,4
"10,000 to 14,999",Master's degree,Software Engineer,50-249 employees,Male,4
"10,000 to 14,999",Master's degree,Software Engineer,0-49 employees,Male,2
"10,000 to 14,999",Master's degree,Software Engineer,0-49 employees,Female,1
"10,000 to 14,999",Master's degree,Other,"> 10,000 employees",Male,7
"10,000 to 14,999",Master's degree,Other,"> 10,000 employees",Female,1
"10,000 to 14,999",Master's degree,Other,"1000-9,999 employees",Male,2
"10,000 to 14,999",Master's degree,Other,50-249 employees,Male,3
"10,000 to 14,999",Master's degree,Other,50-249 employees,Female,1
"10,000 to 14,999",Master's degree,Other,50-249 employees,Not Mentioned,1
"10,000 to 14,999",Master's degree,Other,0-49 employees,Male,3
"10,000 to 14,999",Master's degree,Other,0-49 employees,Female,1
"10,000 to 14,999",Master's degree,Other,0-49 employees,Not Mentioned,1
"10,000 to 14,999",Bachelor's degree,Research Scientist,"1000-9,999 employees",Male,1
"10,000 to 14,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,10
"10,000 to 14,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Female,1
"10,000 to 14,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,6
"10,000 to 14,999",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"10,000 to 14,999",Bachelor's degree,Data Scientist,250-999 employees,Female,1
"10,000 to 14,999",Bachelor's degree,Data Scientist,50-249 employees,Male,6
"10,000 to 14,999",Bachelor's degree,Data Scientist,0-49 employees,Male,6
"10,000 to 14,999",Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,2
"10,000 to 14,999",Bachelor's degree,Product/Project Manager,"1000-9,999 employees",Male,2
"10,000 to 14,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,4
"10,000 to 14,999",Bachelor's degree,Business Analyst,250-999 employees,Male,2
"10,000 to 14,999",Bachelor's degree,Business Analyst,50-249 employees,Male,1
"10,000 to 14,999",Bachelor's degree,Business Analyst,50-249 employees,Female,1
"10,000 to 14,999",Bachelor's degree,Statistician,"> 10,000 employees",Male,1
"10,000 to 14,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Female,1
"10,000 to 14,999",Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,2
"10,000 to 14,999",Bachelor's degree,Data Analyst,"1000-9,999 employees",Female,1
"10,000 to 14,999",Bachelor's degree,Data Analyst,250-999 employees,Male,1
"10,000 to 14,999",Bachelor's degree,Data Analyst,50-249 employees,Male,1
"10,000 to 14,999",Bachelor's degree,Data Analyst,0-49 employees,Male,2
"10,000 to 14,999",Bachelor's degree,Data Analyst,0-49 employees,Female,1
"10,000 to 14,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,5
"10,000 to 14,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Female,1
"10,000 to 14,999",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,2
"10,000 to 14,999",Bachelor's degree,Data Engineer,50-249 employees,Male,1
"10,000 to 14,999",Bachelor's degree,DBA/Database Engineer,"> 10,000 employees",Female,1
"10,000 to 14,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,22
"10,000 to 14,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,2
"10,000 to 14,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Not Mentioned,1
"10,000 to 14,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,8
"10,000 to 14,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Female,2
"10,000 to 14,999",Bachelor's degree,Software Engineer,250-999 employees,Male,3
"10,000 to 14,999",Bachelor's degree,Software Engineer,50-249 employees,Male,3
"10,000 to 14,999",Bachelor's degree,Software Engineer,0-49 employees,Male,8
"10,000 to 14,999",Bachelor's degree,Other,"> 10,000 employees",Male,8
"10,000 to 14,999",Bachelor's degree,Other,"1000-9,999 employees",Male,4
"10,000 to 14,999",Professional degree,Research Scientist,"> 10,000 employees",Male,1
"10,000 to 14,999",Professional degree,Research Scientist,250-999 employees,Female,1
"10,000 to 14,999",Professional degree,Data Scientist,"> 10,000 employees",Male,3
"10,000 to 14,999",Professional degree,Product/Project Manager,250-999 employees,Male,1
"10,000 to 14,999",Professional degree,Business Analyst,"> 10,000 employees",Male,1
"10,000 to 14,999",Professional degree,Data Analyst,"> 10,000 employees",Male,2
"10,000 to 14,999",Professional degree,Data Analyst,"1000-9,999 employees",Male,1
"10,000 to 14,999",Professional degree,Data Analyst,250-999 employees,Male,1
"10,000 to 14,999",Professional degree,Data Analyst,50-249 employees,Female,1
"10,000 to 14,999",Professional degree,Software Engineer,"> 10,000 employees",Male,2
